"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"1",0,-1,0,-1,0,-1,0,0,0,0,1,-1,-1,0,-1,0,1,0
"2",0,1,1,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1
"3",0,0,1,-1,-1,0,0,-1,0,0,0,-1,1,1,0,0,-1,0
"4",0,0,1,0,0,1,-1,-1,0,1,-1,0,0,0,0,-1,0,1
"5",0,0,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0
"6",-1,1,-1,-1,-1,1,0,0,1,0,0,0,0,1,1,1,-1,0
"7",0,0,1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1
"8",-1,1,0,0,-1,1,0,0,-1,0,0,0,0,0,0,2,0,0
"9",-1,0,1,0,0,1,0,1,0,0,-1,0,0,0,1,0,0,0
"10",0,0,-1,1,-1,0,0,0,1,0,0,0,1,0,0,0,0,1
"11",1,0,1,-1,-1,0,1,0,0,1,0,0,0,0,0,0,0,0
"12",0,0,0,1,-1,1,0,0,0,-1,0,0,2,1,0,0,0,-1
"13",0,0,1,0,1,0,0,0,0,0,0,-1,0,1,1,0,-1,0
"14",1,-1,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,1,0
"15",-1,0,2,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,1
"16",0,0,-1,0,0,0,0,1,1,1,0,0,0,0,-1,1,0,1
"17",0,0,1,0,-1,0,0,0,1,0,0,0,1,1,-1,0,0,1
"18",0,0,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
"19",0,0,1,0,0,-1,0,1,0,1,-1,0,2,0,0,0,0,0
"20",0,0,0,1,-1,0,0,0,0,0,0,0,1,0,1,0,1,0
"21",1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1
"22",0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"23",0,0,0,0,-1,1,0,0,0,0,1,1,0,1,0,0,1,0
"24",0,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,2,0,1
"25",0,0,0,0,-1,0,0,0,0,1,0,0,1,1,1,0,0,1
"26",-1,0,1,1,-1,1,1,0,0,0,0,0,0,0,1,0,1,0
"27",0,1,1,0,-1,0,0,1,0,1,-1,0,2,0,1,0,-1,0
"28",0,1,1,0,0,0,-1,-1,0,1,1,0,1,0,1,0,0,0
"29",1,0,0,1,-1,0,0,1,1,2,-1,0,0,1,0,0,0,0
"30",0,0,0,-1,0,1,0,1,2,0,-1,0,-1,0,3,0,0,1
"31",-1,1,1,0,-1,0,0,0,0,0,1,1,-1,0,1,2,0,1
"32",0,0,0,2,0,2,1,0,1,0,0,0,-1,0,0,0,0,0
"33",0,1,0,0,-2,1,0,0,0,1,0,0,1,1,1,0,0,1
"34",0,1,0,0,0,1,0,1,0,2,-1,0,0,2,0,-1,0,0
"35",1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
"36",1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,-1,-1
"37",0,0,1,1,-1,1,0,0,0,0,0,-1,0,0,0,1,2,1
"38",0,1,0,1,-1,0,0,2,1,0,-1,-1,1,1,1,1,0,0
"39",1,0,0,0,0,0,0,1,0,0,-1,1,0,1,0,1,1,1
"40",0,0,0,1,1,2,0,0,0,1,-1,-1,1,1,0,0,0,1
"41",-1,1,0,0,-1,1,1,0,0,0,1,-1,1,1,0,0,0,3
"42",0,2,0,1,0,1,1,1,0,0,-1,0,0,0,1,0,0,1
"43",0,1,-1,0,0,0,1,0,1,0,1,0,0,1,2,1,0,0
"44",1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0
"45",0,0,2,0,0,0,0,0,-1,0,1,1,1,0,1,1,0,1
"46",0,1,2,0,-1,0,0,-1,0,0,0,0,2,2,0,1,0,1
"47",-1,1,1,0,0,0,1,1,0,0,0,-1,0,2,2,0,0,1
"48",1,0,1,0,0,1,0,-1,1,1,1,0,0,1,0,0,0,1
"49",0,0,0,0,0,1,0,1,1,3,1,0,1,0,0,0,0,0
"50",0,0,0,0,-1,0,1,2,0,0,0,1,1,2,0,2,0,0
"51",-1,0,0,1,-1,0,0,3,0,1,1,0,0,0,2,1,0,1
"52",0,0,0,0,0,1,1,1,0,1,1,-2,0,1,1,0,0,3
"53",0,1,0,1,0,0,0,1,0,0,0,0,2,3,1,-1,-1,1
"54",1,1,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0
"55",0,1,1,0,-1,0,1,0,0,0,0,0,2,1,1,0,1,2
"56",0,2,1,1,-1,1,0,1,0,1,0,0,0,0,2,0,1,0
"57",0,1,2,1,0,1,1,0,0,2,0,-1,0,1,0,1,0,0
"58",0,1,0,0,0,1,0,1,0,0,1,0,0,0,2,2,0,1
"59",0,0,0,0,1,0,0,3,0,0,0,0,1,1,1,2,0,0
"60",0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,1,1,2
"61",0,0,-1,0,0,0,1,0,1,1,2,2,0,1,2,2,1,-1
"62",0,1,0,0,-1,0,1,-1,2,2,0,3,0,1,2,0,0,1
"63",0,0,0,-1,1,0,0,1,1,1,1,0,6,0,0,0,1,0
"64",1,1,0,0,0,1,0,1,-1,1,0,0,1,2,2,0,0,2
"65",0,0,0,0,1,0,2,0,0,1,0,2,1,1,2,1,0,1
"66",0,1,2,0,2,0,1,0,1,1,0,0,2,0,1,0,1,1
"67",0,0,2,0,0,1,0,2,1,3,1,0,0,0,2,1,0,1
