"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,1,1,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,1,1,1
"3",1,2,1,1,1,2,1,1,1,1
"4",1,2,1,1,1,1,1,1,1,2
"5",1,1,1,1,1,1,1,1,1,1
"6",1,1,1,2,1,1,1,1,2,1
"7",2,1,1,1,1,1,1,1,1,1
"8",1,2,1,1,1,1,1,1,1,2
"9",1,2,1,1,1,2,1,1,1,1
"10",1,2,1,1,1,2,1,1,1,1
"11",1,1,1,1,1,1,1,1,1,1
"12",1,1,1,1,1,1,1,1,1,1
"13",1,1,1,1,1,1,1,1,2,2
"14",1,1,1,1,1,1,1,1,1,1
"15",1,1,2,1,1,1,1,1,2,1
"16",1,2,1,1,1,1,1,1,2,1
"17",1,1,1,1,1,1,1,1,1,1
"18",1,1,1,1,1,1,2,1,1,2
"19",1,2,1,1,1,1,1,1,1,1
"20",1,2,1,1,1,1,1,1,2,1
"21",1,2,1,2,1,1,1,1,2,2
"22",1,2,2,2,1,3,1,1,1,2
"23",2,2,1,2,2,1,1,1,1,1
"24",2,2,1,1,2,3,2,1,1,1
"25",1,2,1,1,1,1,1,1,3,1
"26",1,2,1,1,2,1,1,1,1,2
"27",1,1,1,3,2,1,1,1,1,3
"28",1,1,1,1,3,3,1,1,1,3
"29",1,1,1,2,1,1,2,1,2,2
"30",2,2,1,2,1,3,1,1,1,1
"31",3,1,1,1,3,2,1,1,1,3
"32",1,1,1,1,1,1,2,1,2,2
"33",1,2,1,1,1,3,1,1,2,2
"34",1,1,1,2,2,1,1,1,2,2
"35",1,1,1,2,1,3,1,1,1,1
"36",1,1,1,1,1,2,1,1,1,2
"37",2,1,2,1,2,3,2,1,1,2
"38",3,2,2,1,1,1,1,1,1,3
"39",3,2,1,1,1,1,2,1,1,2
"40",1,1,1,1,2,2,1,2,2,1
"41",3,2,2,3,2,3,2,2,3,3
"42",1,3,2,3,3,3,3,1,3,2
"43",2,2,2,2,3,2,1,3,2,3
"44",1,2,2,2,3,2,3,2,2,3
"45",3,2,3,2,3,2,3,3,3,2
"46",3,3,1,2,2,3,2,1,2,2
"47",3,3,2,2,2,2,2,1,2,3
"48",2,3,1,2,3,4,3,3,2,2
"49",2,3,1,2,1,3,3,1,3,3
"50",3,3,2,3,1,2,3,1,3,3
"51",2,2,3,2,1,3,1,1,2,3
"52",3,2,1,3,1,3,1,2,3,3
"53",2,3,1,2,3,3,3,2,2,3
"54",3,1,3,2,3,3,1,1,2,1
"55",3,2,1,1,1,1,1,3,2,2
"56",3,2,2,3,4,3,2,1,2,3
"57",2,2,2,1,3,3,1,1,3,3
"58",1,3,1,2,3,4,1,1,1,3
"59",1,3,3,2,2,3,3,1,3,4
"60",1,4,3,3,3,3,3,1,1,3
"61",4,4,3,3,4,4,3,2,3,3
"62",3,3,2,3,3,4,3,2,3,3
"63",3,3,3,2,2,2,3,3,3,3
"64",3,3,3,4,2,3,3,3,3,3
"65",4,3,3,3,3,3,3,2,3,4
"66",4,2,3,3,3,4,3,2,3,3
"67",4,3,2,4,3,3,3,2,4,4
"68",3,3,3,3,3,4,3,3,3,2
"69",4,3,2,3,3,3,3,3,3,3
"70",3,3,2,2,3,4,3,3,4,3
"71",4,1,3,3,3,3,3,4,3,3
"72",3,3,3,2,3,3,3,1,3,3
"73",4,3,3,3,3,4,4,2,4,3
"74",3,4,4,3,3,2,4,3,4,4
"75",3,3,3,2,3,4,3,2,3,3
"76",4,3,2,3,3,4,3,3,3,4
"77",4,4,2,3,3,3,3,3,3,3
"78",4,3,3,2,3,3,3,3,3,4
"79",3,3,3,2,3,3,3,2,3,4
"80",4,2,3,3,3,4,3,2,4,4
"81",3,4,3,4,3,4,2,3,3,4
"82",4,3,3,4,4,4,4,3,3,4
"83",4,4,3,4,4,4,4,4,3,3
"84",4,4,3,4,4,4,3,2,3,4
"85",3,4,3,4,4,4,3,2,3,3
"86",4,4,4,4,4,4,4,2,4,3
"87",4,4,3,3,3,4,4,3,4,4
"88",4,3,3,4,3,2,3,3,3,3
"89",3,3,4,4,4,4,3,2,4,3
"90",3,4,2,4,4,4,3,3,4,3
"91",4,4,3,4,4,4,4,3,4,4
"92",4,4,3,4,4,4,4,3,4,4
"93",4,4,3,4,3,4,4,2,4,3
"94",4,3,3,3,4,4,4,4,3,4
"95",3,4,4,3,3,4,3,4,4,3
"96",4,4,3,3,3,4,3,4,3,3
"97",4,4,3,3,4,4,3,3,4,4
"98",4,3,4,4,3,3,4,3,4,3
"99",4,4,3,3,3,3,3,4,3,3
"100",4,4,3,4,3,4,4,4,3,3
"101",4,4,4,4,4,4,4,4,4,4
"102",4,4,4,4,4,4,4,4,4,4
"103",4,4,4,4,4,4,4,3,4,4
"104",4,4,3,4,4,4,4,4,4,4
"105",4,3,4,4,4,4,4,4,4,4
"106",4,4,4,4,4,4,4,4,3,4
"107",4,4,3,4,4,4,4,4,4,4
"108",4,4,4,4,4,4,4,3,4,4
"109",4,4,4,4,4,4,4,4,4,4
"110",4,4,4,4,4,4,3,4,4,4
"111",4,4,4,4,4,4,4,4,4,4
"112",4,4,4,4,4,4,4,4,4,4
"113",4,4,4,4,3,4,4,4,3,3
"114",4,4,4,4,4,4,3,3,4,4
"115",4,4,4,4,4,4,4,4,4,3
"116",4,4,4,4,4,4,4,4,4,4
"117",4,4,4,4,4,4,4,4,4,4
"118",4,4,4,4,3,4,4,4,4,4
"119",4,4,3,4,4,4,4,4,4,4
"120",4,4,4,4,4,4,4,4,4,4
