"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",4,4,5,5,4,4,4,4,4,4
"2",4,4,4,5,4,4,4,4,4,4
"3",4,4,4,4,4,4,4,4,4,4
"4",4,4,5,5,4,4,4,4,4,4
"5",4,4,4,4,4,4,4,4,4,4
"6",4,4,4,4,4,4,4,4,4,4
"7",4,4,4,4,4,4,4,4,4,4
"8",4,4,4,4,4,4,4,4,4,4
"9",4,4,4,4,4,5,4,4,4,4
"10",4,4,4,5,4,4,4,4,4,4
"11",4,4,4,4,4,4,4,4,4,4
"12",4,4,4,4,4,4,4,4,4,4
"13",4,4,4,5,4,4,4,5,4,4
"14",4,4,4,4,4,4,4,4,4,4
"15",4,4,4,4,4,4,4,4,4,4
"16",4,4,4,4,5,4,5,4,4,4
"17",4,4,4,4,4,4,4,4,4,4
"18",4,4,4,5,4,4,6,4,4,4
"19",4,4,4,4,4,4,4,4,4,4
"20",4,4,5,4,4,4,4,4,4,4
"21",5,5,4,5,4,5,5,4,6,4
"22",4,5,4,5,5,4,4,4,4,5
"23",4,4,5,6,6,4,5,4,5,4
"24",4,5,4,4,4,5,5,4,5,4
"25",5,4,5,4,4,4,5,4,5,4
"26",4,5,5,4,4,4,4,4,4,4
"27",5,5,4,5,4,4,5,4,4,4
"28",4,5,5,5,5,5,5,4,4,6
"29",5,4,4,5,4,4,5,4,4,5
"30",5,4,5,4,5,5,5,5,5,4
"31",5,4,5,4,5,4,5,5,4,5
"32",5,4,4,6,5,5,5,4,4,4
"33",4,5,6,5,4,4,5,4,4,4
"34",4,4,4,5,4,4,4,4,4,5
"35",4,4,4,5,4,5,5,4,4,5
"36",6,5,6,5,4,4,4,4,4,4
"37",5,5,6,5,4,4,5,4,4,4
"38",5,4,5,5,5,4,5,4,5,4
"39",5,4,5,4,4,5,5,4,5,4
"40",4,4,4,4,4,4,5,4,5,4
"41",5,4,5,5,5,7,5,4,5,5
"42",6,5,6,6,5,4,5,5,6,5
"43",5,5,5,6,6,5,5,5,5,5
"44",6,6,5,5,5,6,5,4,6,6
"45",5,5,5,6,6,6,6,5,5,5
"46",5,6,5,5,4,5,5,4,5,5
"47",5,6,5,5,5,4,6,5,4,5
"48",4,5,5,5,5,5,5,5,5,4
"49",5,5,5,6,6,5,5,5,6,5
"50",5,4,5,6,4,4,6,5,4,5
"51",5,5,6,5,5,5,5,5,5,5
"52",5,5,5,6,5,5,5,4,5,4
"53",5,6,5,5,5,4,5,5,6,5
"54",5,5,6,5,5,5,6,5,6,5
"55",5,5,5,5,5,5,5,6,6,5
"56",5,5,5,5,5,5,5,5,6,4
"57",5,5,6,5,5,6,5,5,6,6
"58",5,5,5,5,5,5,4,4,5,5
"59",5,6,5,5,5,5,5,6,6,5
"60",5,5,5,5,5,5,5,5,4,5
"61",5,6,6,7,6,6,6,5,5,6
"62",6,6,6,7,5,7,6,6,6,6
"63",6,6,6,6,5,6,6,6,6,5
"64",5,6,6,6,6,6,7,5,5,5
"65",6,6,6,6,6,6,7,5,7,5
"66",6,6,6,6,5,5,5,5,7,6
"67",7,6,6,5,5,7,7,6,5,5
"68",6,6,6,6,5,7,7,6,6,5
"69",6,5,6,7,6,5,5,5,6,6
"70",6,6,6,6,6,7,6,6,7,7
"71",6,6,6,5,5,6,5,6,6,5
"72",6,6,6,6,6,6,5,5,6,6
"73",5,6,6,6,5,6,6,5,7,5
"74",5,6,6,6,6,6,6,7,7,6
"75",5,5,6,6,5,6,6,5,7,5
"76",6,6,6,6,6,5,6,5,6,6
"77",6,6,6,7,5,6,6,6,6,5
"78",7,6,6,6,6,5,6,6,6,6
"79",7,6,6,6,6,6,6,5,7,5
"80",6,6,6,6,6,7,5,6,6,6
"81",5,7,7,7,6,7,6,7,7,6
"82",7,6,6,6,7,7,7,7,6,7
"83",6,7,7,6,7,7,7,7,6,7
"84",6,6,6,7,6,7,6,7,6,6
"85",6,7,6,7,6,7,6,5,7,6
"86",7,6,6,7,6,7,6,7,6,6
"87",6,7,7,7,6,7,7,7,7,6
"88",7,6,6,7,7,6,7,7,7,6
"89",5,5,6,7,6,7,6,6,7,7
"90",7,7,6,7,6,6,7,7,7,7
"91",7,7,5,7,7,7,7,7,7,7
"92",7,6,6,7,7,7,7,7,7,7
"93",7,7,6,7,6,7,7,7,6,6
"94",6,6,6,7,6,7,7,7,7,7
"95",6,7,6,5,7,6,7,7,7,7
"96",7,7,6,6,5,6,7,7,6,6
"97",6,6,6,6,7,5,7,6,7,6
"98",7,6,6,7,6,6,6,6,7,7
"99",7,6,6,7,6,7,7,7,7,7
"100",6,7,6,7,7,6,6,7,6,6
"101",7,7,7,7,7,7,7,7,7,7
"102",7,7,6,7,7,7,7,7,7,7
"103",7,7,7,7,7,7,7,7,7,7
"104",7,7,7,7,7,7,7,7,7,7
"105",7,7,7,7,7,7,7,7,7,7
"106",7,7,7,7,7,7,7,7,7,7
"107",7,7,6,7,7,7,7,7,7,7
"108",7,7,7,7,7,7,7,7,7,7
"109",7,7,7,7,7,7,7,7,7,7
"110",7,7,7,7,7,7,7,7,7,7
"111",7,7,7,7,7,7,7,7,7,7
"112",7,7,7,7,7,5,7,6,7,6
"113",7,7,7,7,7,7,7,7,7,7
"114",7,7,7,7,7,7,7,7,7,7
"115",7,7,7,7,7,7,7,7,7,7
"116",7,7,6,7,7,7,7,7,7,7
"117",7,7,7,7,7,7,7,7,7,7
"118",7,7,7,7,7,7,7,7,7,7
"119",7,7,7,6,7,7,7,7,7,7
"120",7,7,7,7,7,7,7,7,7,7
