"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",4,4,4,4,4,4,4,4,4,4
"2",4,4,4,4,4,4,4,4,4,4
"3",4,4,4,4,4,4,4,4,4,4
"4",4,4,4,4,4,4,4,4,4,4
"5",4,4,4,4,4,4,4,4,4,4
"6",4,4,4,4,4,4,4,4,4,4
"7",4,4,4,4,4,4,4,4,4,4
"8",4,4,4,4,4,4,4,4,4,4
"9",4,4,4,4,4,5,4,4,4,4
"10",4,4,4,4,4,4,4,4,4,4
"11",6,4,4,4,4,4,4,4,4,4
"12",4,4,4,4,4,5,4,4,4,4
"13",4,4,4,4,4,4,4,5,4,4
"14",4,4,4,4,4,4,4,4,4,4
"15",4,4,4,4,4,4,4,4,5,4
"16",4,4,4,4,4,4,5,4,4,4
"17",4,4,4,4,4,4,4,4,4,4
"18",4,4,4,4,4,4,6,4,4,4
"19",4,4,4,4,4,5,4,4,4,4
"20",4,4,4,4,4,4,4,4,4,4
"21",5,4,4,4,4,4,5,4,6,4
"22",4,4,4,4,4,4,4,4,4,5
"23",4,4,4,4,4,5,5,4,5,4
"24",6,4,4,4,4,5,5,4,4,4
"25",4,4,4,4,4,4,5,4,4,4
"26",4,4,5,4,5,5,4,4,4,4
"27",4,4,4,5,4,4,5,4,4,4
"28",4,4,4,4,4,5,5,4,4,6
"29",5,4,4,4,4,4,5,4,5,5
"30",4,4,4,4,4,6,5,5,4,4
"31",4,4,5,4,5,4,5,5,4,5
"32",5,4,4,4,4,5,5,4,4,4
"33",4,4,5,4,4,5,5,4,4,4
"34",4,4,4,4,4,4,4,4,4,5
"35",4,4,4,5,5,5,5,4,4,5
"36",5,4,5,5,4,4,4,4,4,4
"37",4,4,5,4,5,5,5,4,4,4
"38",6,4,4,4,4,4,5,4,4,4
"39",6,5,5,4,4,4,5,4,4,4
"40",4,4,4,4,4,4,5,4,4,4
"41",5,5,6,5,5,7,5,4,4,5
"42",6,5,6,4,5,5,5,5,6,5
"43",5,4,4,5,6,6,5,5,4,5
"44",6,6,5,6,5,6,5,4,6,5
"45",6,4,5,5,5,6,6,5,4,5
"46",6,6,5,4,5,5,5,4,4,5
"47",5,6,6,4,6,5,6,5,5,5
"48",4,5,4,5,4,5,5,5,5,4
"49",5,5,4,5,5,5,5,5,6,5
"50",6,4,4,5,4,6,6,5,5,5
"51",7,4,5,5,4,4,5,5,5,5
"52",4,4,5,5,4,5,5,4,5,4
"53",5,6,5,4,5,5,5,5,6,5
"54",6,5,6,5,5,5,6,5,6,4
"55",6,5,4,5,4,6,5,6,6,5
"56",6,4,6,4,5,5,5,5,6,4
"57",6,4,5,5,5,6,5,5,6,4
"58",5,5,4,5,5,6,4,4,5,5
"59",6,6,6,4,5,5,5,6,6,5
"60",5,4,6,5,5,6,5,5,4,5
"61",5,6,6,5,5,6,6,5,5,6
"62",6,6,6,5,6,7,6,6,6,5
"63",6,6,6,5,6,6,6,6,6,5
"64",6,6,6,5,6,6,6,5,5,5
"65",7,6,6,5,6,6,6,5,7,5
"66",7,6,6,5,6,5,5,5,7,6
"67",6,6,6,6,5,7,6,6,5,5
"68",5,6,6,5,6,7,6,6,6,5
"69",7,5,5,7,6,6,5,5,6,6
"70",6,6,6,5,6,7,6,6,7,7
"71",6,6,6,5,6,6,5,6,6,5
"72",6,6,6,5,5,6,5,5,6,6
"73",7,6,6,6,6,6,7,5,7,5
"74",5,6,6,6,6,6,6,7,7,6
"75",6,5,6,6,5,6,6,5,7,5
"76",6,6,6,7,6,6,6,5,6,6
"77",7,6,5,5,5,6,6,7,6,5
"78",7,6,6,5,5,5,6,6,6,6
"79",6,6,6,6,5,6,6,5,7,5
"80",6,6,6,6,6,7,5,6,6,5
"81",7,7,6,7,6,7,6,7,7,7
"82",7,6,6,7,7,7,6,7,6,7
"83",7,7,7,5,7,7,6,7,6,6
"84",6,6,5,7,6,7,6,7,6,6
"85",7,7,6,7,6,7,6,5,7,7
"86",7,6,6,7,5,7,7,7,6,7
"87",6,7,6,7,6,7,7,7,7,6
"88",7,6,7,7,7,6,7,7,7,7
"89",7,5,6,7,6,7,6,6,7,6
"90",7,7,6,7,6,6,6,7,7,6
"91",7,7,6,7,7,7,7,7,7,7
"92",6,6,6,7,7,7,7,7,7,7
"93",7,7,5,7,6,7,7,7,6,6
"94",7,6,6,7,6,7,6,7,7,7
"95",6,7,6,5,7,6,6,7,7,7
"96",7,7,7,7,5,6,6,7,6,7
"97",7,6,6,7,7,5,6,6,7,7
"98",7,6,6,7,6,6,6,6,7,6
"99",7,6,7,6,6,7,7,7,7,6
"100",7,7,6,5,7,6,7,7,6,6
"101",7,7,6,7,7,7,7,7,7,7
"102",7,7,7,7,7,7,7,7,7,7
"103",7,7,7,7,7,7,6,7,7,7
"104",7,7,7,7,7,7,6,7,7,7
"105",7,7,7,7,7,7,7,7,7,6
"106",7,7,7,7,7,7,7,7,7,7
"107",7,7,6,7,7,7,6,7,7,7
"108",7,7,7,7,7,7,7,7,7,7
"109",7,7,7,7,7,7,7,7,7,7
"110",7,7,7,7,7,7,6,7,7,7
"111",7,7,6,7,7,7,7,7,7,7
"112",7,7,7,7,7,7,7,6,7,7
"113",7,7,7,7,7,7,7,7,7,7
"114",7,7,7,7,7,7,7,7,7,7
"115",7,7,7,7,7,7,7,7,7,7
"116",7,7,7,7,7,7,7,7,7,7
"117",7,7,7,7,7,7,7,7,7,7
"118",7,7,7,7,7,7,7,7,7,7
"119",7,7,6,7,7,7,7,7,7,7
"120",7,7,6,7,7,7,7,7,7,7
